,timestamp,plala(Download),plala(Upload),wakwak(Download),wakwak(Upload),asahi(Download),asahi(Upload),ocn(Download),ocn(Upload),sonet(Download),sonet(Upload),wakwak-ipoe(Download),wakwak-ipoe(Upload)
2022/7/11 0:00,2022/07/11T00:00:00,54,20,149,68,304,64,118,111,225,61,149,36
2022/7/11 0:05,2022/07/11T00:05:00,28,66,172,117,236,67,109,49,109,66,135,62
2022/7/11 0:10,2022/07/11T00:10:00,91,60,218,50,271,50,65,78,116,59,215,47
2022/7/11 0:15,2022/07/11T00:15:00,55,63,162,93,319,31,64,115,174,55,179,60
2022/7/11 0:20,2022/07/11T00:20:00,176,63,117,103,298,49,49,112,92,40,54,44
2022/7/11 0:25,2022/07/11T00:25:00,132,51,113,89,163,46,63,119,115,47,204,48
2022/7/11 0:30,2022/07/11T00:30:00,45,54,160,127,309,41,85,113,170,57,157,31
2022/7/11 0:35,2022/07/11T00:35:00,191,68,150,69,361,40,57,116,148,60,195,42
2022/7/11 0:40,2022/07/11T00:40:00,197,50,144,100,260,78,72,82,214,24,238,47
2022/7/11 0:45,2022/07/11T00:45:00,175,59,225,96,291,36,72,53,171,54,180,48
2022/7/11 0:50,2022/07/11T00:50:00,99,56,157,51,258,39,57,59,132,59,223,48
2022/7/11 0:55,2022/07/11T00:55:00,119,46,191,60,244,55,101,97,127,45,127,29
2022/7/11 1:00,2022/07/11T01:00:00,47,50,215,124,224,39,71,92,177,62,274,49
2022/7/11 1:05,2022/07/11T01:05:00,48,66,222,92,179,45,60,78,201,48,153,39
2022/7/11 1:10,2022/07/11T01:10:00,120,49,203,131,324,68,120,48,178,52,195,45
2022/7/11 1:15,2022/07/11T01:15:00,103,56,150,76,267,58,60,90,241,75,192,44
2022/7/11 1:20,2022/07/11T01:20:00,102,55,117,41,275,36,76,81,258,68,228,28
2022/7/11 1:25,2022/07/11T01:25:00,123,41,130,93,424,20,94,52,162,68,121,40
2022/7/11 1:30,2022/07/11T01:30:00,69,35,137,136,313,53,63,96,133,49,236,18
2022/7/11 1:35,2022/07/11T01:35:00,47,62,136,57,104,73,101,118,70,52,36,58
2022/7/11 1:40,2022/07/11T01:40:00,45,42,135,115,134,63,45,75,106,48,55,32
2022/7/11 1:45,2022/07/11T01:45:00,29,53,230,67,210,67,57,120,104,53,244,48
2022/7/11 1:50,2022/07/11T01:50:00,30,60,126,107,240,69,83,51,177,35,41,46
2022/7/11 1:55,2022/07/11T01:55:00,33,69,205,132,292,50,64,100,38,63,74,30
2022/7/11 2:00,2022/07/11T02:00:00,41,32,117,124,249,55,90,105,48,41,43,36
2022/7/11 2:05,2022/07/11T02:05:00,52,62,136,114,262,48,73,115,65,50,195,49
2022/7/11 2:10,2022/07/11T02:10:00,60,39,192,105,114,50,58,53,36,41,55,29
2022/7/11 2:15,2022/07/11T02:15:00,41,40,128,129,316,73,70,90,73,65,74,49
2022/7/11 2:20,2022/07/11T02:20:00,104,57,165,138,353,44,97,61,200,67,338,42
2022/7/11 2:25,2022/07/11T02:25:00,246,54,172,86,396,61,40,89,199,49,328,41
2022/7/11 2:30,2022/07/11T02:30:00,140,50,204,80,416,60,61,96,180,52,184,36
2022/7/11 2:35,2022/07/11T02:35:00,237,35,176,102,249,56,79,85,154,55,377,42
2022/7/11 2:40,2022/07/11T02:40:00,67,47,182,44,297,50,85,58,228,63,336,48
2022/7/11 2:45,2022/07/11T02:45:00,111,57,188,123,326,64,94,79,259,48,382,43
2022/7/11 2:50,2022/07/11T02:50:00,151,59,177,112,354,46,77,77,215,32,236,37
2022/7/11 2:55,2022/07/11T02:55:00,171,37,111,100,348,60,73,68,207,62,328,42
2022/7/11 3:00,2022/07/11T03:00:00,160,61,135,74,415,50,73,99,198,47,434,50
2022/7/11 3:05,2022/07/11T03:05:00,223,48,121,119,331,66,101,114,386,69,416,46
2022/7/11 3:10,2022/07/11T03:10:00,157,53,161,112,240,46,68,46,177,46,367,38
2022/7/11 3:15,2022/07/11T03:15:00,220,60,118,72,480,50,93,107,84,49,282,45
2022/7/11 3:20,2022/07/11T03:20:00,168,45,236,53,354,49,48,87,127,55,194,40
2022/7/11 3:25,2022/07/11T03:25:00,91,60,161,113,264,73,89,60,247,51,375,34
2022/7/11 3:30,2022/07/11T03:30:00,226,59,209,79,231,69,92,74,156,49,305,36
2022/7/11 3:35,2022/07/11T03:35:00,84,53,146,52,300,56,102,117,201,39,312,38
2022/7/11 3:40,2022/07/11T03:40:00,201,55,119,80,60,26,94,46,211,51,389,47
2022/7/11 3:45,2022/07/11T03:45:00,140,51,154,140,402,62,66,55,282,68,237,49
2022/7/11 3:50,2022/07/11T03:50:00,186,51,242,110,454,50,78,57,272,63,326,28
2022/7/11 3:55,2022/07/11T03:55:00,70,65,148,91,438,56,106,69,312,56,176,32
2022/7/11 4:00,2022/07/11T04:00:00,66,62,173,90,369,43,43,83,230,50,331,49
2022/7/11 4:05,2022/07/11T04:05:00,118,46,121,106,392,39,59,38,214,59,179,42
2022/7/11 4:10,2022/07/11T04:10:00,159,56,137,136,323,45,111,113,421,61,234,47
2022/7/11 4:15,2022/07/11T04:15:00,91,62,216,128,342,57,67,66,274,65,320,41
2022/7/11 4:20,2022/07/11T04:20:00,209,55,156,74,173,54,119,112,228,62,448,43
2022/7/11 4:25,2022/07/11T04:25:00,152,53,153,133,264,73,97,121,249,48,351,28
2022/7/11 4:30,2022/07/11T04:30:00,234,48,177,119,134,62,84,64,177,54,362,44
2022/7/11 4:35,2022/07/11T04:35:00,219,59,123,100,93,47,60,69,282,44,268,54
2022/7/11 4:40,2022/07/11T04:40:00,186,58,208,135,196,47,109,83,324,66,421,44
2022/7/11 4:45,2022/07/11T04:45:00,177,54,239,92,137,75,110,101,157,61,443,49
2022/7/11 4:50,2022/07/11T04:50:00,156,60,200,127,167,70,75,40,146,68,327,37
2022/7/11 4:55,2022/07/11T04:55:00,128,74,234,46,270,67,95,73,229,71,341,41
2022/7/11 5:00,2022/07/11T05:00:00,209,51,236,62,140,70,68,46,263,58,424,53
2022/7/11 5:05,2022/07/11T05:05:00,218,36,217,43,253,61,113,107,245,69,307,47
2022/7/11 5:10,2022/07/11T05:10:00,222,48,189,73,203,69,48,63,105,42,400,42
2022/7/11 5:15,2022/07/11T05:15:00,118,46,189,104,107,75,76,56,158,59,213,51
2022/7/11 5:20,2022/07/11T05:20:00,146,55,217,82,217,72,48,92,99,63,329,54
2022/7/11 5:25,2022/07/11T05:25:00,226,48,200,94,552,17,77,90,237,71,305,28
2022/7/11 5:30,2022/07/11T05:30:00,133,21,163,108,260,29,113,118,211,75,352,26
2022/7/11 5:35,2022/07/11T05:35:00,96,34,114,112,533,61,84,77,168,35,172,42
2022/7/11 5:40,2022/07/11T05:40:00,126,43,151,71,408,68,78,56,262,65,249,42
2022/7/11 5:45,2022/07/11T05:45:00,207,56,122,74,505,49,90,51,168,39,342,46
2022/7/11 5:50,2022/07/11T05:50:00,243,48,181,103,412,62,65,100,218,66,336,31
2022/7/11 5:55,2022/07/11T05:55:00,55,57,125,136,341,63,118,71,392,47,247,43
2022/7/11 6:00,2022/07/11T06:00:00,134,48,212,112,382,55,119,69,306,34,318,43
2022/7/11 6:05,2022/07/11T06:05:00,163,52,203,62,269,37,91,56,275,38,205,41
2022/7/11 6:10,2022/07/11T06:10:00,160,48,141,73,283,63,40,100,471,49,326,40
2022/7/11 6:15,2022/07/11T06:15:00,112,58,139,106,309,67,116,44,102,66,205,48
2022/7/11 6:20,2022/07/11T06:20:00,96,61,238,112,219,51,92,116,161,50,124,32
2022/7/11 6:25,2022/07/11T06:25:00,207,63,230,84,196,21,65,96,208,63,264,33
2022/7/11 6:30,2022/07/11T06:30:00,55,56,206,75,218,59,118,70,229,71,234,53
2022/7/11 6:35,2022/07/11T06:35:00,73,62,216,71,147,58,94,90,161,57,186,47
2022/7/11 6:40,2022/07/11T06:40:00,84,32,183,69,217,66,43,44,162,55,289,45
2022/7/11 6:45,2022/07/11T06:45:00,54,44,161,53,178,57,108,43,109,56,136,49
2022/7/11 6:50,2022/07/11T06:50:00,87,55,201,56,190,59,65,115,135,42,249,57
2022/7/11 6:55,2022/07/11T06:55:00,94,49,142,128,116,59,84,105,143,48,106,45
2022/7/11 7:00,2022/07/11T07:00:00,37,57,140,130,112,37,53,38,88,53,162,34
2022/7/11 7:05,2022/07/11T07:05:00,141,39,204,57,158,42,107,88,121,63,142,46
2022/7/11 7:10,2022/07/11T07:10:00,111,40,162,121,92,51,90,109,149,75,162,37
2022/7/11 7:15,2022/07/11T07:15:00,85,67,181,103,107,67,81,60,38,55,182,52
2022/7/11 7:20,2022/07/11T07:20:00,155,58,194,73,150,61,110,45,99,51,146,60
2022/7/11 7:25,2022/07/11T07:25:00,121,50,125,75,215,48,107,98,132,69,194,33
2022/7/11 7:30,2022/07/11T07:30:00,184,51,227,113,58,53,109,58,116,47,301,33
2022/7/11 7:35,2022/07/11T07:35:00,97,60,211,83,125,65,38,58,161,60,186,49
2022/7/11 7:40,2022/07/11T07:40:00,92,59,240,55,47,48,116,56,46,60,195,55
2022/7/11 7:45,2022/07/11T07:45:00,170,65,179,45,135,47,93,56,128,56,259,44
2022/7/11 7:50,2022/07/11T07:50:00,161,50,164,105,46,38,64,81,122,56,69,52
2022/7/11 7:55,2022/07/11T07:55:00,59,55,96,88,74,69,111,121,160,63,97,29
2022/7/11 8:00,2022/07/11T08:00:00,94,58,91,55,106,65,64,91,166,39,162,19
2022/7/11 8:05,2022/07/11T08:05:00,149,59,45,110,230,48,84,106,92,55,65,53
2022/7/11 8:10,2022/07/11T08:10:00,81,42,84,41,443,60,59,80,123,61,151,44
2022/7/11 8:15,2022/07/11T08:15:00,98,65,75,81,134,58,104,38,146,71,252,27
2022/7/11 8:20,2022/07/11T08:20:00,78,58,68,42,252,63,55,80,36,75,104,53
2022/7/11 8:25,2022/07/11T08:25:00,119,31,72,77,370,56,80,75,256,57,96,33
2022/7/11 8:30,2022/07/11T08:30:00,85,65,103,103,196,59,99,41,253,63,99,34
2022/7/11 8:35,2022/07/11T08:35:00,92,67,102,92,346,47,68,100,159,66,222,36
2022/7/11 8:40,2022/07/11T08:40:00,77,64,59,96,187,52,78,42,147,52,176,56
2022/7/11 8:45,2022/07/11T08:45:00,153,61,85,83,65,59,65,83,148,62,170,41
2022/7/11 8:50,2022/07/11T08:50:00,194,53,65,69,243,54,57,75,174,52,241,39
2022/7/11 8:55,2022/07/11T08:55:00,82,69,75,46,207,54,118,80,178,59,44,40
2022/7/11 9:00,2022/07/11T09:00:00,155,57,63,77,201,54,118,82,222,52,180,45
2022/7/11 9:05,2022/07/11T09:05:00,90,44,55,106,175,44,50,98,119,51,233,44
2022/7/11 9:10,2022/07/11T09:10:00,118,55,68,59,100,54,84,47,210,51,263,44
2022/7/11 9:15,2022/07/11T09:15:00,37,38,53,69,192,34,98,107,175,63,240,41
2022/7/11 9:20,2022/07/11T09:20:00,81,55,79,79,164,55,111,38,184,59,127,45
2022/7/11 9:25,2022/07/11T09:25:00,133,57,43,40,152,63,101,77,151,69,149,36
2022/7/11 9:30,2022/07/11T09:30:00,55,56,74,48,99,58,78,44,231,51,156,24
2022/7/11 9:35,2022/07/11T09:35:00,144,61,38,41,110,49,87,41,78,53,158,40
2022/7/11 9:40,2022/07/11T09:40:00,33,61,59,74,160,60,77,59,275,63,122,41
2022/7/11 9:45,2022/07/11T09:45:00,91,67,78,62,197,67,38,42,175,66,227,51
2022/7/11 9:50,2022/07/11T09:50:00,56,70,53,30,139,63,104,116,125,57,89,35
2022/7/11 9:55,2022/07/11T09:55:00,66,50,61,84,136,65,62,49,114,55,135,40
2022/7/11 10:00,2022/07/11T10:00:00,127,34,77,51,192,67,103,108,191,62,180,45
2022/7/11 10:05,2022/07/11T10:05:00,91,56,41,77,197,57,81,55,196,59,148,49
